artist,song_name,song_info
French Montana,Keep It Real,"[68.0, 0.757, 0.567, 11.0, -8.57, 0.0, 0.0463, 0.0415, 2.76e-05, 0.272, 0.272, 92.968, 227097.0]"
French Montana,Welcome to the Party with French Montana  Lil Pump feat. Zhavia Ward - from Deadpool 2,"[67.0, 0.618, 0.845, 2.0, 0.175, 1.0, 0.132, 0.114, 0.0, 0.415, 0.486, 171.921, 181720.0]"
French Montana,Kind of Girl,"[67.0, 0.428, 0.698, 11.0, -7.837, 0.0, 0.408, 0.318, 0.0, 0.449, 0.191, 151.794, 177788.0]"
French Montana,Mopstick with Kodak Black,"[67.0, 0.847, 0.358, 1.0, -8.274, 1.0, 0.473, 0.00179, 0.0, 0.111, 0.218, 163.979, 216415.0]"
French Montana,No Stylist feat. Drake,"[59.0, 0.762, 0.696, 5.0, -4.795, 0.0, 0.126, 0.0172, 1.33e-06, 0.22, 0.532, 147.123, 189692.0]"
French Montana,Tip Toe feat. French Montana,"[65.0, 0.845, 0.709, 10.0, -4.547, 0.0, 0.0714, 0.0233, 0.0, 0.094, 0.62, 98.062, 187521.0]"
French Montana,Bricks  Bags,"[65.0, 0.664, 0.676, 1.0, -8.325, 1.0, 0.322, 0.0421, 0.0, 0.0805, 0.425, 176.084, 222308.0]"
French Montana,Rushmore Pack,"[64.0, 0.459, 0.719, 4.0, -9.762, 0.0, 0.231, 0.318, 4.08e-06, 0.772, 0.348, 85.988, 172023.0]"
Miguel,Sure Thing,"[78.0, 0.684, 0.607, 11.0, -8.127, 0.0, 0.1, 0.0267, 0.000307, 0.191, 0.498, 81.001, 195373.0]"
Miguel,Girl With The Tattoo Enter.lewd,"[74.0, 0.372, 0.239, 6.0, -11.314, 0.0, 0.0296, 0.856, 0.000175, 0.168, 0.127, 113.451, 102813.0]"
Miguel,Sky Walker feat. Travis Scott,"[74.0, 0.674, 0.506, 6.0, -10.532, 1.0, 0.0434, 0.173, 0.0, 0.0866, 0.183, 145.965, 259333.0]"
Miguel,Don't Forget My Love,"[66.0, 0.638, 0.875, 2.0, -6.222, 1.0, 0.0413, 0.0239, 0.0149, 0.119, 0.251, 121.035, 199091.0]"
Miguel,Come Through and Chill feat. J. Cole  Salaam Remi,"[69.0, 0.461, 0.653, 6.0, -8.617, 1.0, 0.327, 0.158, 0.0, 0.197, 0.588, 81.628, 322000.0]"
Miguel,All I Want Is You feat. J. Cole,"[69.0, 0.776, 0.603, 5.0, -5.696, 1.0, 0.0343, 0.0728, 6.25e-05, 0.111, 0.921, 96.888, 295920.0]"
Miguel,waves - Tame Impala Remix,"[68.0, 0.529, 0.894, 2.0, -3.599, 1.0, 0.0412, 0.308, 5.38e-06, 0.254, 0.543, 108.024, 253347.0]"
Miguel,Adorn,"[67.0, 0.625, 0.576, 11.0, -5.693, 0.0, 0.175, 0.0543, 4.07e-05, 0.187, 0.235, 179.063, 193147.0]"
Miguel,Remind Me to Forget,"[63.0, 0.689, 0.505, 0.0, -6.389, 1.0, 0.0933, 0.158, 0.0, 0.138, 0.312, 99.017, 217293.0]"
Miguel,How Many Drinks?,"[64.0, 0.379, 0.608, 0.0, -7.011, 0.0, 0.134, 0.00311, 0.000614, 0.248, 0.241, 81.822, 272987.0]"
21 Savage,Jimmy Cooks feat. 21 Savage,"[93.0, 0.529, 0.673, 0.0, -4.711, 1.0, 0.175, 0.000307, 2.41e-06, 0.093, 0.366, 165.921, 218365.0]"
21 Savage,Knife Talk with 21 Savage ft. Project Pat,"[85.0, 0.849, 0.424, 5.0, -9.579, 0.0, 0.324, 0.0635, 0.0, 0.0834, 0.153, 145.887, 242966.0]"
21 Savage,Cash In Cash Out,"[84.0, 0.877, 0.56, 7.0, -3.751, 1.0, 0.0596, 0.00721, 1.45e-06, 0.0839, 0.154, 119.971, 216136.0]"
21 Savage,a lot,"[79.0, 0.837, 0.636, 1.0, -7.643, 1.0, 0.086, 0.0395, 0.00125, 0.342, 0.274, 145.972, 288624.0]"
21 Savage,ball w/o you,"[79.0, 0.892, 0.633, 8.0, -7.471, 1.0, 0.0902, 0.0467, 0.000189, 0.139, 0.459, 137.994, 195047.0]"
21 Savage,m y . l i f e with 21 Savage  Morray,"[79.0, 0.597, 0.587, 7.0, -7.026, 0.0, 0.137, 0.0622, 0.0, 0.214, 0.0753, 140.021, 218802.0]"
21 Savage,Bank Account,"[78.0, 0.884, 0.347, 8.0, -8.227, 0.0, 0.35, 0.015, 7e-06, 0.0871, 0.376, 75.016, 220307.0]"
21 Savage,Runnin,"[78.0, 0.819, 0.626, 10.0, -4.574, 0.0, 0.202, 0.00748, 0.101, 0.167, 0.415, 143.01, 195906.0]"
21 Savage,Rich Nigga Shit feat. Young Thug,"[76.0, 0.825, 0.733, 1.0, -5.625, 0.0, 0.0969, 0.349, 0.0, 0.112, 0.62, 97.974, 190331.0]"
21 Savage,New Money with 21 Savage,"[75.0, 0.875, 0.831, 11.0, -5.991, 1.0, 0.0772, 0.278, 1.69e-05, 0.0877, 0.742, 91.99, 170322.0]"
Metro Boomin,Ric Flair Drip with Metro Boomin,"[81.0, 0.88, 0.428, 9.0, -8.28, 1.0, 0.206, 0.149, 5.05e-05, 0.114, 0.333, 100.007, 172800.0]"
Metro Boomin,Space Cadet feat. Gunna,"[81.0, 0.901, 0.464, 5.0, -9.789, 0.0, 0.0645, 0.368, 1.71e-05, 0.238, 0.638, 109.004, 203267.0]"
Metro Boomin,Runnin,"[78.0, 0.819, 0.626, 10.0, -4.574, 0.0, 0.202, 0.00748, 0.101, 0.167, 0.415, 143.01, 195906.0]"
