edge,edge_weight
"('Vince Staples', 'A$AP Rocky')",0.0
"('Flatbush Zombies', 'A$AP Rocky')",0.0
"('Pusha T', 'A$AP Rocky')",0.0
"('ScHoolboy Q', 'A$AP Rocky')",6.0
"('Joey Bada$$', 'A$AP Rocky')",2.0
"('Danny Brown', 'A$AP Rocky')",2.0
"('Freddie Gibbs', 'A$AP Rocky')",0.0
"('Ab-Soul', 'A$AP Rocky')",0.0
"('A$AP Mob', 'A$AP Rocky')",0.0
"('Jay Rock', 'A$AP Rocky')",0.0
"('Curren$y', 'A$AP Rocky')",0.0
"('Isaiah Rashad', 'A$AP Rocky')",0.0
"('A$AP Ferg', 'A$AP Rocky')",1.0
"('Chief Keef', 'A$AP Rocky')",0.0
"('Denzel Curry', 'A$AP Rocky')",0.0
"('JPEGMAFIA', 'A$AP Rocky')",0.0
"('Juicy J', 'A$AP Rocky')",6.0
"('Action Bronson', 'A$AP Rocky')",2.0
"('2 Chainz', 'A$AP Rocky')",2.0
"('Ab-Soul', 'ScHoolboy Q')",2.0
"('Freddie Gibbs', 'ScHoolboy Q')",0.0
"('Dom Kennedy', 'ScHoolboy Q')",1.0
"('Danny Brown', 'ScHoolboy Q')",0.0
"('Flatbush Zombies', 'ScHoolboy Q')",0.0
"('Black Hippy', 'ScHoolboy Q')",1.0
"('Big K.R.I.T.', 'ScHoolboy Q')",0.0
"('Vince Staples', 'ScHoolboy Q')",2.0
"('Isaiah Rashad', 'ScHoolboy Q')",0.0
"('Jay Rock', 'ScHoolboy Q')",5.0
"('Smoke DZA', 'ScHoolboy Q')",0.0
"('Curren$y', 'ScHoolboy Q')",0.0
"('A$AP Twelvyy', 'ScHoolboy Q')",0.0
"('Boldy James', 'ScHoolboy Q')",0.0
"('Pusha T', 'ScHoolboy Q')",0.0
"('A$AP Rocky', 'ScHoolboy Q')",1.0
"('Action Bronson', 'ScHoolboy Q')",0.0
"('Dizzy Wright', 'ScHoolboy Q')",0.0
"('Joey Bada$$', 'ScHoolboy Q')",0.0
"('Earl Sweatshirt', 'ScHoolboy Q')",0.0
"('Earl Sweatshirt', 'Frank Ocean')",1.0
"('Childish Gambino', 'Frank Ocean')",0.0
"('Tyler, The Creator', 'Frank Ocean')",0.0
"('A$AP Rocky', 'Frank Ocean')",0.0
"('Vince Staples', 'Frank Ocean')",0.0
"('Pusha T', 'Frank Ocean')",0.0
"('Odd Future', 'Frank Ocean')",0.0
"('BROCKHAMPTON', 'Frank Ocean')",0.0
"('Kevin Abstract', 'Frank Ocean')",0.0
"('Miguel', 'Frank Ocean')",0.0
"('Mac Miller', 'Frank Ocean')",0.0
"('The Internet', 'Frank Ocean')",0.0
"('Joey Bada$$', 'Frank Ocean')",0.0
"('Jhené Aiko', 'Frank Ocean')",0.0
"('JPEGMAFIA', 'Frank Ocean')",0.0
"('Freddie Gibbs', 'Frank Ocean')",0.0
"('Isaiah Rashad', 'Frank Ocean')",0.0
"('Solange', 'Frank Ocean')",0.0
"('Pharrell Williams', 'Frank Ocean')",0.0
"('Chance the Rapper', 'Frank Ocean')",0.0
"('Flatbush Zombies', 'Joey Bada$$')",13.0
"('Ab-Soul', 'Joey Bada$$')",0.0
"('Vince Staples', 'Joey Bada$$')",0.0
"('Danny Brown', 'Joey Bada$$')",0.0
"('Earl Sweatshirt', 'Joey Bada$$')",0.0
"('Freddie Gibbs', 'Joey Bada$$')",0.0
"('Domo Genesis', 'Joey Bada$$')",0.0
"('Action Bronson', 'Joey Bada$$')",2.0
"('The Alchemist', 'Joey Bada$$')",0.0
"('A$AP Rocky', 'Joey Bada$$')",0.0
"('The Underachievers', 'Joey Bada$$')",3.0
"('Isaiah Rashad', 'Joey Bada$$')",0.0
"('Boldy James', 'Joey Bada$$')",0.0
"('ScHoolboy Q', 'Joey Bada$$')",2.0
"('Mick Jenkins', 'Joey Bada$$')",0.0
"('Chance the Rapper', 'Joey Bada$$')",0.0
"('Pusha T', 'Joey Bada$$')",0.0
"('A$AP Twelvyy', 'Joey Bada$$')",0.0
"('Denzel Curry', 'Joey Bada$$')",0.0
"('Curren$y', 'Joey Bada$$')",0.0
"('Earl Sweatshirt', 'Childish Gambino')",0.0
"('Frank Ocean', 'Childish Gambino')",0.0
"('Tyler, The Creator', 'Childish Gambino')",0.0
"('A$AP Rocky', 'Childish Gambino')",0.0
"('Vince Staples', 'Childish Gambino')",0.0
"('Pusha T', 'Childish Gambino')",0.0
"('Chance the Rapper', 'Childish Gambino')",2.0
"('Odd Future', 'Childish Gambino')",0.0
"('Mac Miller', 'Childish Gambino')",0.0
"('Joey Bada$$', 'Childish Gambino')",0.0
"('Isaiah Rashad', 'Childish Gambino')",0.0
"('BROCKHAMPTON', 'Childish Gambino')",0.0
"('ScHoolboy Q', 'Childish Gambino')",0.0
"('N.E.R.D', 'Childish Gambino')",0.0
"('Spillage Village', 'Childish Gambino')",0.0
"('Kevin Abstract', 'Childish Gambino')",0.0
"('WZRD', 'Childish Gambino')",0.0
"('Freddie Gibbs', 'Childish Gambino')",0.0
"('The Internet', 'Childish Gambino')",0.0
"('Kid Cudi', 'Childish Gambino')",0.0
"('MellowHype', 'Earl Sweatshirt')",0.0
"('Domo Genesis', 'Earl Sweatshirt')",2.0
"('Vince Staples', 'Earl Sweatshirt')",4.0
"('Mike G', 'Earl Sweatshirt')",0.0
"('Danny Brown', 'Earl Sweatshirt')",0.0
"('Odd Future', 'Earl Sweatshirt')",0.0
"('Lil B', 'Earl Sweatshirt')",0.0
"('SpaceGhostPurrp', 'Earl Sweatshirt')",0.0
"('Death Grips', 'Earl Sweatshirt')",0.0
"('Tyler, The Creator', 'Earl Sweatshirt')",2.0
"('Freddie Gibbs', 'Earl Sweatshirt')",0.0
"('MellowHigh', 'Earl Sweatshirt')",0.0
"('Casey Veggies', 'Earl Sweatshirt')",1.0
"('BADBADNOTGOOD', 'Earl Sweatshirt')",0.0
"('Jet Age of Tomorrow', 'Earl Sweatshirt')",0.0
"('JPEGMAFIA', 'Earl Sweatshirt')",0.0
"('King Geedorah', 'Earl Sweatshirt')",0.0
"('Action Bronson', 'Earl Sweatshirt')",0.0
"('Ab-Soul', 'Earl Sweatshirt')",0.0
"('Madvillain', 'Earl Sweatshirt')",0.0
"('Donnie Trumpet & The Social Experiment', 'Chance the Rapper')",0.0
"('Ab-Soul', 'Chance the Rapper')",1.0
"('Joey Bada$$', 'Chance the Rapper')",0.0
"('Vince Staples', 'Chance the Rapper')",0.0
"('Mick Jenkins', 'Chance the Rapper')",0.0
"('Earl Sweatshirt', 'Chance the Rapper')",0.0
"('Noname', 'Chance the Rapper')",2.0
"('Aminé', 'Chance the Rapper')",0.0
"('Shelley FKA DRAM', 'Chance the Rapper')",0.0
"('BJ The Chicago Kid', 'Chance the Rapper')",3.0
